date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-03-24,Vietnam,Taiwan,4.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,False,,H,0.5,0.5,1000.0,1000.0,0.0,3.0,2.0
2016-03-24,Wales,Northern Ireland,1.0,1.0,Friendly,Cardiff,Wales,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-25,Algeria,Ethiopia,7.0,1.0,African Cup of Nations qualification,Blida,Algeria,False,,H,0.5,0.5,1000.0,1000.0,0.0,6.0,2.0
2016-03-25,Armenia,Belarus,0.0,0.0,Friendly,Yerevan,Armenia,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-25,Brazil,Uruguay,2.0,2.0,FIFA World Cup qualification,Recife,Brazil,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-25,Canada,Mexico,0.0,3.0,FIFA World Cup qualification,Vancouver,Canada,False,,A,0.5,0.5,1000.0,1000.0,0.0,-3.0,2.0
2016-03-25,El Salvador,Honduras,2.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-25,Gabon,Sierra Leone,2.0,1.0,Friendly,Franceville,Gabon,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-25,Guatemala,United States,2.0,0.0,FIFA World Cup qualification,Guatemala City,Guatemala,False,,H,0.5,0.2,1000.0,1003.9989457702164,-4.0,2.0,2.0
2016-03-25,Guinea,Malawi,0.0,0.0,African Cup of Nations qualification,Conakry,Guinea,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-25,Haiti,Panama,0.0,0.0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,,D,0.2,0.2,1008.0,1008.0,0.0,0.0,2.0
2016-03-25,Republic of Ireland,Switzerland,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-25,Ivory Coast,Sudan,1.0,0.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-25,Jamaica,Costa Rica,1.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-25,Luxembourg,Bosnia and Herzegovina,0.0,3.0,Friendly,Luxembourg,Luxembourg,False,,A,0.5,0.5,1000.0,1000.0,0.0,-3.0,1.0
2016-03-25,Mali,Equatorial Guinea,1.0,0.0,African Cup of Nations qualification,Bamako,Mali,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-25,Mauritania,Gambia,2.0,1.0,African Cup of Nations qualification,Nouakchott,Mauritania,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-25,Netherlands,France,2.0,3.0,Friendly,Amsterdam,Netherlands,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-25,Nigeria,Egypt,1.0,1.0,African Cup of Nations qualification,Kaduna,Nigeria,False,,D,0.5,0.4,1000.0,1004.045519500905,-4.05,0.0,2.0
2016-03-25,Portugal,Bulgaria,0.0,1.0,Friendly,Leiria,Portugal,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-25,Slovakia,Latvia,0.0,0.0,Friendly,Trnava,Slovakia,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-25,Eswatini,Zimbabwe,1.0,1.0,African Cup of Nations qualification,Lobamba,Swaziland,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-25,Tunisia,Togo,1.0,0.0,African Cup of Nations qualification,Monastir,Tunisia,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-25,Saint Vincent and the Grenadines,Trinidad and Tobago,2.0,3.0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,,A,0.5,0.0,1000.0,992.0,8.0,-1.0,2.0
